순위,곡명,가수,앨범,장르
1,롤린 (Rollin'),브레이브걸스,Rollin',댄스
2,"19금 Peaches (Feat. Daniel Caesar, Giveon)",Justin Bieber,Justice (The Complete Edition),POP
3,라일락,아이유,IU 5th Album 'LILAC',댄스
4,운전만해 (We Ride),브레이브걸스,We Ride,댄스
5,Celebrity,아이유,IU 5th Album 'LILAC',댄스
6,Timeless,SG 워너비,Sg Wanna Be+,발라드
7,Dynamite,방탄소년단,Dynamite (DayTime Version),댄스
8,라라라,SG 워너비,My Friend,발라드
9,Dun Dun Dance,오마이걸 (OH MY GIRL),Dear OHMYGIRL,댄스
10,내사람,SG 워너비,The Precious History,R&B/Soul
11,내 손을 잡아,아이유,최고의 사랑 OST Part.4,"발라드, 국내드라마"
12,Coin,아이유,IU 5th Album 'LILAC',R&B/Soul
13,밝게 빛나는 별이 되어 비춰줄게,송이한,밝게 빛나는 별이 되어 비춰줄게,R&B/Soul
14,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)","양요섭, 정은지","LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",댄스
15,마.피.아. In the morning,ITZY (있지),GUESS WHO,랩/힙합
16,멜로디,ASH ISLAND,멜로디,랩/힙합
17,On The Ground,로제 (ROSÉ),R,록/메탈
18,밤하늘의 별을(2020),경서,밤하늘의 별을(2020),발라드
19,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들,사이렌 Remix,랩/힙합
20,ASAP,STAYC(스테이씨),STAYDOM,댄스
21,Butter,방탄소년단,Butter,댄스
22,잠이 오질 않네요,장범준,잠이 오질 않네요,발라드
23,상상더하기,라붐 (LABOUM),Fresh Adventure,댄스
24,Blueming,아이유,Love poem,록/메탈
25,그냥 안아달란 말야,다비치,그냥 안아달란 말야,발라드
26,취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들),발라드
27,Lovesick Girls,BLACKPINK,THE ALBUM,댄스
28,에잇(Prod.&Feat. SUGA of BTS),아이유,에잇,록/메탈
29,어푸 (Ah puh),아이유,IU 5th Album 'LILAC',댄스
30,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),"미란이 (MIRANI), 먼치맨(MUNCHMAN), Khundi Panda, 머쉬베놈 (MUSHVENOM)",쇼미더머니 9 Episode 1,랩/힙합
31,살다가,SG 워너비,살다가,발라드
