곡명,계절,순위,가수,Month,Year
봄날,봄,42,방탄소년단,3,2021
봄날,봄,37,방탄소년단,4,2021
봄날,봄,49,방탄소년단,5,2021
봄날,봄,67,방탄소년단,3,2022
봄날,봄,56,방탄소년단,4,2022
봄날,봄,71,방탄소년단,5,2022
봄날,봄,64,방탄소년단,3,2023
봄날,봄,61,방탄소년단,4,2023
봄날,봄,71,방탄소년단,5,2023
봄날,봄,57,방탄소년단,3,2024
봄날,봄,52,방탄소년단,4,2024
봄날,봄,75,방탄소년단,5,2024
봄날,봄,77,방탄소년단,3,2025
봄날,봄,69,방탄소년단,4,2025
봄날,봄,75,방탄소년단,5,2025
이제 나만 믿어요,봄,59,임영웅,3,2021
이제 나만 믿어요,봄,63,임영웅,4,2021
이제 나만 믿어요,봄,65,임영웅,5,2021
이제 나만 믿어요,봄,47,임영웅,3,2022
이제 나만 믿어요,봄,43,임영웅,4,2022
이제 나만 믿어요,봄,40,임영웅,5,2022
이제 나만 믿어요,봄,78,임영웅,3,2023
이제 나만 믿어요,봄,81,임영웅,4,2023
이제 나만 믿어요,봄,77,임영웅,5,2023
이제 나만 믿어요,봄,84,임영웅,3,2024
이제 나만 믿어요,봄,85,임영웅,4,2024
이제 나만 믿어요,봄,82,임영웅,5,2024
이제 나만 믿어요,봄,98,임영웅,3,2025
이제 나만 믿어요,봄,92,임영웅,4,2025
이제 나만 믿어요,봄,93,임영웅,5,2025
"모든 날, 모든 순간 (Every day, Every Moment)",봄,27,폴킴,3,2021
"모든 날, 모든 순간 (Every day, Every Moment)",봄,40,폴킴,4,2021
"모든 날, 모든 순간 (Every day, Every Moment)",봄,47,폴킴,5,2021
"모든 날, 모든 순간 (Every day, Every Moment)",봄,59,폴킴,3,2022
"모든 날, 모든 순간 (Every day, Every Moment)",봄,65,폴킴,4,2022
"모든 날, 모든 순간 (Every day, Every Moment)",봄,65,폴킴,5,2022
"모든 날, 모든 순간 (Every day, Every Moment)",봄,58,폴킴,3,2023
"모든 날, 모든 순간 (Every day, Every Moment)",봄,63,폴킴,4,2023
"모든 날, 모든 순간 (Every day, Every Moment)",봄,76,폴킴,5,2023
"모든 날, 모든 순간 (Every day, Every Moment)",봄,51,폴킴,3,2024
"모든 날, 모든 순간 (Every day, Every Moment)",봄,53,폴킴,4,2024
"모든 날, 모든 순간 (Every day, Every Moment)",봄,58,폴킴,5,2024
"모든 날, 모든 순간 (Every day, Every Moment)",봄,52,폴킴,3,2025
"모든 날, 모든 순간 (Every day, Every Moment)",봄,50,폴킴,4,2025
"모든 날, 모든 순간 (Every day, Every Moment)",봄,50,폴킴,5,2025
사랑인가 봐,봄,9,멜로망스,3,2022
사랑인가 봐,봄,4,멜로망스,4,2022
사랑인가 봐,봄,5,멜로망스,5,2022
사랑인가 봐,봄,16,멜로망스,3,2023
사랑인가 봐,봄,25,멜로망스,4,2023
사랑인가 봐,봄,33,멜로망스,5,2023
사랑인가 봐,봄,29,멜로망스,3,2024
사랑인가 봐,봄,24,멜로망스,4,2024
사랑인가 봐,봄,35,멜로망스,5,2024
사랑인가 봐,봄,50,멜로망스,3,2025
사랑인가 봐,봄,38,멜로망스,4,2025
사랑인가 봐,봄,45,멜로망스,5,2025
Dynamite,봄,4,방탄소년단,3,2021
Dynamite,봄,10,방탄소년단,4,2021
Dynamite,봄,7,방탄소년단,5,2021
Dynamite,봄,36,방탄소년단,3,2022
Dynamite,봄,39,방탄소년단,4,2022
Dynamite,봄,36,방탄소년단,5,2022
Dynamite,봄,55,방탄소년단,3,2023
Dynamite,봄,55,방탄소년단,4,2023
Dynamite,봄,55,방탄소년단,5,2023
Dynamite,봄,75,방탄소년단,3,2024
Dynamite,봄,71,방탄소년단,4,2024
Dynamite,봄,77,방탄소년단,5,2024
너의 모든 순간,봄,62,성시경,3,2022
너의 모든 순간,봄,63,성시경,4,2022
너의 모든 순간,봄,41,성시경,5,2022
너의 모든 순간,봄,19,성시경,3,2023
너의 모든 순간,봄,29,성시경,4,2023
너의 모든 순간,봄,36,성시경,5,2023
너의 모든 순간,봄,27,성시경,3,2024
너의 모든 순간,봄,28,성시경,4,2024
너의 모든 순간,봄,37,성시경,5,2024
너의 모든 순간,봄,37,성시경,3,2025
너의 모든 순간,봄,39,성시경,4,2025
너의 모든 순간,봄,41,성시경,5,2025
